,Distance,Radius,X,Y,Z
395,47.791000000000004,1.825,242.257,205.579,208.57299999999998
396,48.239,1.8330000000000002,242.25099999999998,205.588,208.56599999999997
397,48.63399999999999,1.8359999999999999,242.245,205.59799999999998,208.565
398,48.99100000000001,1.8359999999999999,242.239,205.61,208.57
399,49.323,1.8319999999999999,242.232,205.62400000000002,208.579
400,49.643,1.825,242.225,205.639,208.592
401,49.958,1.817,242.217,205.655,208.609
402,50.273,1.807,242.209,205.672,208.628
403,50.592,1.797,242.201,205.68900000000002,208.649
404,50.915,1.786,242.19299999999998,205.707,208.671
405,51.239,1.775,242.185,205.725,208.69400000000002
406,51.239,1.775,242.185,205.725,208.69400000000002
407,51.259,1.7819999999999998,242.187,205.706,208.688
408,51.278999999999996,1.7890000000000001,242.18900000000002,205.688,208.68099999999998
409,51.297999999999995,1.796,242.192,205.67,208.674
410,51.317,1.8030000000000002,242.196,205.653,208.666
411,51.336,1.8090000000000002,242.2,205.637,208.657
412,51.355,1.814,242.205,205.623,208.64700000000002
413,51.373,1.818,242.21200000000002,205.61,208.635
414,51.391999999999996,1.821,242.22,205.59900000000002,208.622
415,51.412,1.8230000000000002,242.23,205.59,208.608
416,51.433,1.825,242.24200000000002,205.583,208.59099999999998
417,51.457,1.8259999999999998,242.25599999999997,205.58,208.572
418,51.483999999999995,1.827,242.27200000000002,205.579,208.551
419,51.513,1.827,242.29,205.581,208.52700000000002
420,51.544999999999995,1.828,242.31,205.584,208.503
421,51.577,1.829,242.329,205.588,208.47799999999998
422,51.608,1.831,242.34900000000002,205.592,208.454
423,51.638999999999996,1.8319999999999999,242.368,205.59599999999998,208.43
424,51.668,1.834,242.385,205.59900000000002,208.407
425,51.693,1.835,242.40099999999998,205.601,208.387
426,51.714,1.837,242.41299999999998,205.59900000000002,208.37
427,51.732,1.837,242.422,205.595,208.356
428,51.745999999999995,1.837,242.428,205.58700000000002,208.34599999999998
429,51.759,1.837,242.428,205.575,208.34
430,51.773999999999994,1.835,242.42700000000002,205.56,208.338
431,51.788999999999994,1.8330000000000002,242.423,205.545,208.33700000000002
432,51.802,1.83,242.421,205.532,208.335
433,51.812,1.825,242.421,205.524,208.331
434,51.821,1.819,242.426,205.52200000000002,208.324
435,51.839,1.8119999999999998,242.43599999999998,205.528,208.31099999999998
436,51.870999999999995,1.8030000000000002,242.455,205.545,208.291
437,51.922,1.795,242.483,205.575,208.261
438,51.994,1.788,242.523,205.62099999999998,208.22099999999998
439,52.092,1.784,242.576,205.683,208.168
440,52.217,1.784,242.643,205.765,208.102
441,52.367,1.788,242.72400000000002,205.863,208.02200000000002
442,52.538,1.798,242.81599999999997,205.976,207.93099999999998
443,52.727,1.815,242.916,206.1,207.831
444,52.928999999999995,1.84,243.023,206.232,207.722
445,53.141,1.874,243.135,206.37,207.606
446,53.358999999999995,1.916,243.248,206.511,207.485
447,53.577999999999996,1.9680000000000002,243.361,206.65200000000002,207.36
